INFO:root:Event tracked: Event(priority=<Priority.MEDIUM: 2>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.MEDIUM source: Web date: 2023-10-25 08:39:35.871914', event_source=<Source.WEB: 'Web'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 35, 871914))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.HIGH source: Mobile date: 2023-10-25 08:39:37.017240', event_source=<Source.MOBILE: 'Mobile'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 37, 17240))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.LOGOUT: 'Logout'>, event_data='middleware applied after filtering to event data for Logout priority: Priority.LOW source: Web date: 2023-10-25 08:39:40.100118', event_source=<Source.WEB: 'Web'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 40, 100118))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.HIGH source: Mobile date: 2023-10-25 08:39:43.799628', event_source=<Source.MOBILE: 'Mobile'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 43, 799628))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.NEW: 'New'>, event_data='middleware applied after filtering to event data for New priority: Priority.HIGH source: API date: 2023-10-25 08:39:48.818240', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 48, 818240))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.NEW: 'New'>, event_data='middleware applied after filtering to event data for New priority: Priority.HIGH source: API date: 2023-10-25 08:39:51.594713', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 51, 594713))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.LOGIN: 'Login'>, event_data='middleware applied after filtering to event data for Login priority: Priority.HIGH source: API date: 2023-10-25 08:39:52.566144', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 52, 566144))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.LOGOUT: 'Logout'>, event_data='middleware applied after filtering to event data for Logout priority: Priority.HIGH source: Mobile date: 2023-10-25 08:39:56.559219', event_source=<Source.MOBILE: 'Mobile'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 56, 559219))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.LOGOUT: 'Logout'>, event_data='middleware applied after filtering to event data for Logout priority: Priority.LOW source: Web date: 2023-10-25 08:39:59.366351', event_source=<Source.WEB: 'Web'>, event_date=datetime.datetime(2023, 10, 25, 8, 39, 59, 366351))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.HIGH source: API date: 2023-10-25 08:40:00.718008', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 40, 0, 718008))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.LOW source: Mobile date: 2023-10-25 08:40:02.063356', event_source=<Source.MOBILE: 'Mobile'>, event_date=datetime.datetime(2023, 10, 25, 8, 40, 2, 63356))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.HIGH source: API date: 2023-10-25 08:40:03.347869', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 40, 3, 347869))
INFO:root:Event tracked: Event(priority=<Priority.MEDIUM: 2>, event_type=<EventType.LOGIN: 'Login'>, event_data='middleware applied after filtering to event data for Login priority: Priority.MEDIUM source: Mobile date: 2023-10-25 08:40:03.998912', event_source=<Source.MOBILE: 'Mobile'>, event_date=datetime.datetime(2023, 10, 25, 8, 40, 3, 998912))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.LOGIN: 'Login'>, event_data='middleware applied after filtering to event data for Login priority: Priority.LOW source: API date: 2023-10-25 08:45:16.281814', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 45, 16, 281814))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.LOW source: API date: 2023-10-25 08:45:19.503917', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 45, 19, 503917))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.LOGIN: 'Login'>, event_data='middleware applied after filtering to event data for Login priority: Priority.LOW source: API date: 2023-10-25 08:45:20.105436', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 45, 20, 105436))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.NEW: 'New'>, event_data='middleware applied after filtering to event data for New priority: Priority.HIGH source: API date: 2023-10-25 08:45:21.378639', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 45, 21, 378639))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.NEW: 'New'>, event_data='middleware applied after filtering to event data for New priority: Priority.HIGH source: API date: 2023-10-25 08:45:22.065231', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 25, 8, 45, 22, 65231))
INFO:root:Event tracked: Event(priority=<Priority.MEDIUM: 2>, event_type=<EventType.LOGOUT: 'Logout'>, event_data='middleware applied after filtering to event data for Logout priority: Priority.MEDIUM source: Mobile date: 2023-10-25 08:45:23.345470', event_source=<Source.MOBILE: 'Mobile'>, event_date=datetime.datetime(2023, 10, 25, 8, 45, 23, 345470))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.NEW: 'New'>, event_data='middleware applied after filtering to event data for New priority: Priority.HIGH source: API date: 2023-10-26 11:31:52.674318', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 26, 11, 31, 52, 674318))
INFO:root:Event tracked: Event(priority=<Priority.MEDIUM: 2>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.MEDIUM source: API date: 2023-10-26 11:31:55.258438', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 26, 11, 31, 55, 258438))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.LOGOUT: 'Logout'>, event_data='middleware applied after filtering to event data for Logout priority: Priority.LOW source: Mobile date: 2023-10-26 11:31:56.497198', event_source=<Source.MOBILE: 'Mobile'>, event_date=datetime.datetime(2023, 10, 26, 11, 31, 56, 497198))
INFO:root:Event tracked: Event(priority=<Priority.MEDIUM: 2>, event_type=<EventType.LOGIN: 'Login'>, event_data='middleware applied after filtering to event data for Login priority: Priority.MEDIUM source: API date: 2023-10-26 11:31:58.449250', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 26, 11, 31, 58, 449250))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.NEW: 'New'>, event_data='middleware applied after filtering to event data for New priority: Priority.HIGH source: API date: 2023-10-26 11:31:59.853498', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 26, 11, 31, 59, 853498))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.PURCHASE: 'Purchase'>, event_data='middleware applied after filtering to event data for Purchase priority: Priority.LOW source: Web date: 2023-10-26 11:32:02.003325', event_source=<Source.WEB: 'Web'>, event_date=datetime.datetime(2023, 10, 26, 11, 32, 2, 3325))
INFO:root:Event tracked: Event(priority=<Priority.LOW: 3>, event_type=<EventType.LOGIN: 'Login'>, event_data='middleware applied after filtering to event data for Login priority: Priority.LOW source: Mobile date: 2023-10-26 11:32:02.585518', event_source=<Source.MOBILE: 'Mobile'>, event_date=datetime.datetime(2023, 10, 26, 11, 32, 2, 585518))
INFO:root:Event tracked: Event(priority=<Priority.HIGH: 1>, event_type=<EventType.NEW: 'New'>, event_data='middleware applied after filtering to event data for New priority: Priority.HIGH source: API date: 2023-10-26 11:32:07.448709', event_source=<Source.API: 'API'>, event_date=datetime.datetime(2023, 10, 26, 11, 32, 7, 448709))
